s_info_windcode,startVol,startBalance,sell,repay,endVol,endBalance,change,change_balance,group,code
601066.SH,4.0,80.16,0.0,0.0,4.0,83.4,0.0,3.240000000000009,沪深300,601066.SH
601108.SH,112.3,1118.51,0.0,3.0,109.3,1106.12,-3.0,-12.3900000000001,沪深300,601108.SH
601138.SH,150.37,2257.05,2.0,0.0,152.37,2305.36,2.0,48.309999999999945,沪深300,601138.SH
601166.SH,87.17,1528.34,1.0,3.0,85.17,1520.75,-2.0,-7.589999999999918,沪深300,601166.SH
601169.SH,4.0,21.2,0.0,0.0,4.0,21.52,0.0,0.3200000000000003,沪深300,601169.SH
601211.SH,45.88,811.12,20.0,0.0,65.88,1181.43,19.999999999999993,370.31000000000006,沪深300,601211.SH
601212.SH,8.0,34.48,0.0,0.0,8.0,36.64,0.0,2.1600000000000037,沪深300,601212.SH
601225.SH,3.34,30.83,0.0,0.0,3.34,30.96,0.0,0.13000000000000256,沪深300,601225.SH
601288.SH,1397.0,4763.77,800.0,147.0,2050.0,7072.5,653.0,2308.7299999999996,沪深300,601288.SH
601318.SH,32.13,2841.52,0.0,0.0,32.13,2867.23,0.0,25.710000000000036,沪深300,601318.SH
601319.SH,9.0,77.13,0.0,0.0,9.0,78.75,0.0,1.6200000000000045,沪深300,601319.SH
601328.SH,1110.0,6038.4,0.0,0.0,1110.0,6116.1,0.0,77.70000000000073,沪深300,601328.SH
601333.SH,30.0,96.9,0.0,0.0,30.0,97.8,0.0,0.8999999999999915,中证500,601333.SH
601360.SH,24.0,528.48,0.0,0.0,24.0,536.4,0.0,7.919999999999959,沪深300,601360.SH
601377.SH,1355.48,8370.79,16.2,107.49,1264.19,7897.85,-91.28999999999996,-472.9400000000005,沪深300,601377.SH
601555.SH,99.37,921.16,0.0,2.6,96.77,909.64,-2.6000000000000085,-11.519999999999982,沪深300,601555.SH
601566.SH,1.0,11.39,0.0,1.0,0.0,0.0,-1.0,-11.39,其他股票,601566.SH
601588.SH,6.6,22.64,0.0,0.0,6.6,23.23,0.0,0.5899999999999999,其他股票,601588.SH
601601.SH,23.2,872.78,0.0,0.0,23.2,886.24,0.0,13.460000000000036,沪深300,601601.SH
601608.SH,271.32,1131.5,10.0,0.0,281.32,1176.01,10.0,44.50999999999999,中证500,601608.SH
601628.SH,2.0,57.72,0.0,0.0,2.0,58.52,0.0,0.8000000000000043,沪深300,601628.SH
601668.SH,90.0,505.8,0.0,0.0,90.0,520.2,0.0,14.400000000000034,沪深300,601668.SH
601688.SH,3312.72,64471.44,0.0,0.0,3312.72,65829.65,0.0,1358.2099999999919,沪深300,601688.SH
601699.SH,66.76,514.75,0.0,0.0,66.76,523.43,0.0,8.67999999999995,中证500,601699.SH
601727.SH,337.26,1760.99,0.0,0.0,337.26,1771.11,0.0,10.11999999999989,沪深300,601727.SH
601777.SH,1.6,6.32,0.0,0.0,1.6,6.16,0.0,-0.16000000000000014,中证500,601777.SH
601801.SH,4.3,25.16,0.0,0.0,4.3,25.37,0.0,0.21000000000000085,中证500,601801.SH
601818.SH,430.0,1620.02,110.0,0.0,540.0,2076.82,110.0,456.8000000000002,沪深300,601818.SH
601866.SH,7.69,20.76,0.0,0.0,7.69,21.22,0.0,0.4599999999999973,中证500,601866.SH
601877.SH,2.0,45.4,0.0,0.0,2.0,48.36,0.0,2.960000000000001,沪深300,601877.SH
601881.SH,11.0,122.1,0.0,0.0,11.0,126.17,0.0,4.070000000000007,沪深300,601881.SH
601886.SH,6.3,47.0,0.0,0.0,6.3,47.63,0.0,0.6300000000000026,其他股票,601886.SH
601888.SH,2.5,236.45,0.0,0.0,2.5,230.6,0.0,-5.849999999999994,沪深300,601888.SH
601898.SH,20.0,102.6,0.0,0.0,20.0,102.8,0.0,0.20000000000000284,沪深300,601898.SH
601901.SH,31.0,210.8,0.0,0.0,31.0,213.28,0.0,2.4799999999999898,沪深300,601901.SH
601929.SH,197.9,451.49,30.0,0.0,227.9,522.17,30.0,70.67999999999995,其他股票,601929.SH
601933.SH,3.0,28.68,0.0,0.0,3.0,28.38,0.0,-0.3000000000000007,沪深300,601933.SH
601958.SH,43.0,300.99,10.0,3.0,50.0,355.5,7.0,54.50999999999999,中证500,601958.SH
601989.SH,717.32,4404.34,0.0,0.0,717.32,4361.31,0.0,-43.029999999999745,沪深300,601989.SH
601991.SH,109.65,311.41,0.0,0.0,109.65,312.5,0.0,1.089999999999975,其他股票,601991.SH
603000.SH,1.3,31.42,0.0,0.0,1.3,29.12,0.0,-2.3000000000000007,中证500,603000.SH
603019.SH,6.0,222.18,0.0,0.0,6.0,232.8,0.0,10.620000000000005,沪深300,603019.SH
603127.SH,12.0,783.0,0.0,0.0,12.0,759.6,0.0,-23.399999999999977,其他股票,603127.SH
603369.SH,3.0,91.2,0.0,3.0,0.0,0.0,-3.0,-91.2,中证500,603369.SH
603517.SH,296.0,12375.76,0.0,0.0,296.0,12476.4,0.0,100.63999999999942,中证500,603517.SH
603605.SH,1.0,83.84,0.0,0.0,1.0,84.16,0.0,0.3199999999999932,其他股票,603605.SH
603737.SH,2.5,157.63,0.0,0.0,2.5,162.38,0.0,4.75,其他股票,603737.SH
603799.SH,51.0,1343.85,0.0,0.0,51.0,1322.94,0.0,-20.909999999999854,沪深300,603799.SH
603833.SH,1.0,119.41,0.0,0.0,1.0,119.99,0.0,0.5799999999999983,沪深300,603833.SH
603858.SH,10.2,201.89,0.0,0.0,10.2,203.32,0.0,1.4300000000000068,沪深300,603858.SH
603885.SH,27.0,336.96,0.0,0.0,27.0,336.69,0.0,-0.2699999999999818,中证500,603885.SH
603986.SH,8.0,1151.6,20.0,0.0,28.0,4053.56,20.0,2901.96,沪深300,603986.SH
